Name,Votes
LeBron James,"1,893,751"
Giannis Antetokounmpo,"1,604,463"
Jimmy Butler,"691,072"
Kevin Love,"909,488"
Joel Embiid,"922,174"
Kristaps Porzingis,"486,527"
Paul George,"426,325"
Carmelo Anthony,"544,133"
Jabari Parker,"198,574"
Hassan Whiteside,"169,746"
Tristan Thompson,"245,822"
Andre Drummond,"100,797"
Al Horford,"122,190"
Dwight Howard,"151,155"
Paul Millsap,"39,551"
Marcin Gortat,"66,667"
Brook Lopez,"27,227"
Jonas Valanciunas,"57,857"
Ersan Ilyasova,"162,185"
Serge Ibaka,"29,123"
Myles Turner,"18,655"
Joakim Noah,"26,886"
Channing Frye,"46,384"
Taj Gibson,"15,589"
Ben Simmons,"19,048"
Michael Beasley,"15,458"
Richard Jefferson,"53,771"
Greg Monroe,"12,006"
Boban Marjanovic,"11,551"
DeMarre Carroll,"26,782"
Patrick Patterson,"24,390"
Nerlens Noel,"12,079"
Jahlil Okafor,"10,621"
Otto Porter,"10,661"
Lucas Nogueira,"19,837"
Thon Maker,"11,233"
Robin Lopez,"8,763"
Willy Hernangomez,"10,672"
Terrence Ross,"38,516"
Jaylen Brown,"12,370"
Jae Crowder,"31,413"
Mindaugas Kuzminskas,"12,272"
Bismack Biyombo,"7,804"
John Henson,"8,932"
Cody Zeller,"6,168"
Robert Covington,"8,068"
Dario Saric,"11,068"
Chris Bosh,"23,865"
Nikola Mirotic,"10,803"
Aaron Gordon,"22,774"
Kent Bazemore,"5,684"
Trevor Booker,"5,034"
Markieff Morris,"5,065"
Kelly Olynyk,"7,439"
Nikola Vucevic,"7,208"
Kyle O'Quinn,"9,570"
James Jones,"16,782"
Michael Kidd-Gilchrist,"8,987"
Chris Andersen,"16,219"
Tobias Harris,"5,884"
Frank Kaminsky,"5,419"
Amir Johnson,"7,916"
Thaddeus Young,"3,076"
Marvin Williams,"4,243"
James Johnson,"3,335"
Kelly Oubre Jr.,"3,995"
Justise Winslow,"5,404"
Pascal Siakam,"8,339"
Doug McDermott,"7,464"
Rondae Hollis-Jefferson,"2,582"
Aron Baynes,"2,968"
Cristiano Felicio,"4,225"
Miles Plumlee,"2,573"
Marcus Morris,"2,888"
Luke Babbitt,"2,853"
Lavoy Allen,"3,888"
Timothe Luwawu-Cabarrot,"3,600"
Luis Scola,"5,563"
Mirza Teletovic,"5,351"
Thabo Sefolosha,"3,059"
Bruno Caboclo,"5,185"
Richaun Holmes,"2,944"
Al Jefferson,"2,936"
Mike Dunleavy,"5,010"
Jonas Jerebko,"4,651"
Jeff Green,"1,860"
Marshall Plumlee,"1,858"
Jakob Poeltl,"4,200"
Lance Thomas,"2,533"
Steve Novak,"3,909"
Tyler Zeller,"2,160"
Udonis Haslem,"3,163"
Rakeem Christmas,"1,406"
Jon Leuer,"1,522"
DeAndre' Bembry,"1,521"
Jared Sullinger,"2,679"
Spencer Hawes,"1,491"
Stanley Johnson,"1,400"
Paul Zipser,"2,272"
Jason Smith,"1,331"
Bobby Portis,"2,127"
Roy Hibbert,"1,984"
Quincy Acy,547
C.J. Miles,"1,965"
Danuel House,653
Justin Hamilton,"1,873"
Mike Muscala,"1,030"
Chris McCullough,911
Tiago Splitter,"1,725"
Taurean Prince,890
Kris Humphries,"1,666"
Damjan Rudez,869
Henry Ellenson,"1,463"
Daniel Ochefu,674
Ian Mahinmi,"1,258"
Jordan Mickey,"1,184"
Derrick Williams,"1,154"
Maurice Ndour,"1,094"
Willie Reed,"1,062"
Reggie Bullock,858
Kevin Seraphin,851
Stephen Zimmerman,767
Christian Wood,593
Mike Scott,587
Georges Niang,578
Josh McRoberts,552
Andrew Nicholson,529
Ryan Kelly,452
Arinze Onuaku,216
Kevin Durant,"1,768,185"
Kawhi Leonard,"1,058,399"
Anthony Davis,"974,802"
DeMarcus Cousins,"654,274"
Draymond Green,"914,973"
Zaza Pachulia,"1,528,941"
Marc Gasol,"273,705"
Karl-Anthony Towns,"367,199"
LaMarcus Aldridge,"323,814"
DeAndre Jordan,"237,708"
Blake Griffin,"295,161"
Gordon Hayward,"160,209"
Nikola Jokic,"173,327"
Steven Adams,"145,223"
Ryan Anderson,"207,227"
Pau Gasol,"214,387"
Rudy Gobert,"124,890"
Trevor Ariza,"221,369"
JaVale McGee,"229,738"
Dirk Nowitzki,"112,164"
Andrew Wiggins,"135,482"
