Conference,Position,Team,Percentage,Games_Behind,Pts_Scored,Pts_Allowed
East,1,TOR,0.72,0,111.7,103.9
East,2,BOS,0.671,4,104,100.4
East,3,PHI,0.634,7,109.8,105.3
East,4,CLE,0.61,9,110.9,109.9
East,5,IND,0.585,11,105.6,104.2
East,6,MIA,0.537,15,103.4,102.9
East,7,MIL,0.537,15,106.5,106.8
East,8,WAS,0.524,16,106.6,106
East,9,DET,0.476,20,103.8,103.9
East,10,CHA,0.439,23,108.2,108
East,11,NYK,0.354,30,104.5,108
East,12,BKN,0.341,31,106.6,110.3
East,13,CHI,0.329,32,102.9,110
East,14,ORL,0.305,34,103.4,108.2
East,15,ATL,0.293,35,103.4,108.8
West,1,HOU,0.793,0,112.4,103.9
West,2,GSW,0.707,7,113.5,107.5
West,3,POR,0.598,16,105.6,103
West,4,OKC,0.585,17,107.9,104.4
West,5,UTA,0.585,17,104.1,99.8
West,6,NOP,0.585,17,111.7,110.4
West,7,SAS,0.573,18,102.7,99.8
West,8,MIN,0.573,18,109.5,107.3
West,9,DEN,0.561,19,110,108.5
West,10,LAC,0.512,23,109,109
West,11,LAL,0.427,30,108.1,109.6
West,12,SAC,0.329,38,98.8,105.8
West,13,DAL,0.293,41,102.3,105.4
West,14,MEM,0.268,43,99.3,105.5
West,15,PHX,0.256,44,103.9,113.3
